NR_ZONA;NR_LOCAL_VOTACAO;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;QT_VOTOS_NOMINAIS;QT_VOTOS_LOHANNA
31;1376;ESCOLA MUNICIPAL MARLENE PEREIRA RANCANTE;RUA DOS COMERCIANTES, 38;1076;2
31;1384;COLEGUIUM - UNIDADE CASTELO MANACÁS;RUA DOUTOR SYLVIO MENICUCCI, 1021;1786;13
31;1392;ESCOLA EDUCAR;AVENIDA SERRANA, 511;418;8
32;1031;COLÉGIO COPAM BH (ANTIGO COLEGIO PAMPULHA);RUA GARUMÃ, 565;3471;46
32;1040;ESCOLA MUNICIPAL AURÉLIO PIRES;RUA BARRINHA,171;3116;40
32;1058;JARAGUÁ COUNTRY CLUBE;RUA AMÁVEL COSTA, 07;4157;43
32;1066;ESCOLA ESTADUAL ANITA BRINA BRANDÃO;PRAÇA IGINO BONFIOLI, 05;5072;45
32;1082;ESCOLA ESTADUAL CORONEL JUCA PINTO;AVENIDA BUENO SIQUEIRA, 180;1671;14
32;1090;UNIFENAS - UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;RUA BOAVENTURA, 50;2157;17
32;1104;ESCOLA ESTADUAL ISABEL DA SILVA POLCK;RUA NELSON LEMOS DE CARVALHO, 198;4039;26
32;1112;ESCOLA ESTADUAL MAJOR DELFINO DE PAULA RICARDO;AVENIDA JOSÉ CLETO,733;4186;24
32;1139;ESCOLA MUNICIPAL PROFESSORA ELEONORA PIERUCCETTI;AVENIDA BERNARDO  VASCONCELOS, 288;3948;21
32;1147;ESCOLA ESTADUAL PERO VAZ DE CAMINHA;RUA PACAJÁ,200;1827;3
32;1163;EMEI - SANTA CRUZ;RUA ESTER DE LIMA, 241;1109;4
32;1171;ESCOLA ESTADUAL SANTO AFONSO;AVENIDA BERNARDO  VASCONCELOS, 1334;3074;13
32;1180;CENTRO COMUNITÁRIO DA PARÓQUIA DE SANTO AFONSO;PRAÇA MUQUI, 89;1121;12
32;1201;ESCOLA ESTADUAL TITO FULGÊNCIO;RUA JACUÍ, 2357;3016;15
32;1210;ESCOLA ESTADUAL MARIANO DE ABREU;RUA SIMÃO TANN, 143;1671;13
32;1228;ESCOLA ESTADUAL DEPUTADO ILACIR PEREIRA LIMA;RUA CONDE DE SANTA MARINHA, 707;2628;10
32;1236;ESCOLA ESTADUAL BENJAMIM GUIMARÃES;RUA ITAPAGIPE,622-A;1760;7
32;1260;ESCOLA MUNICIPAL HUGO PINHEIRO SOARES;RUA JUNDIAÍ, 567;1775;6
32;1279;ESCOLA MUNICIPAL  AMÉRICO RENÊ GIANNETTI;RUA  JUNDIAÍ, 557;1029;1
32;1295;ESCOLA ESTADUAL FLÁVIO DOS SANTOS;RUA JACUÍ,1131;2102;11
32;1309;SEMINÁRIO TEOLÓGICO CARISMA;RUA MANOEL MACEDO, 308;2034;6
32;1317;ESCOLA ESTADUAL SARAH KUBITSCHEK;RUA JOSÉ CLEMENTE PEREIRA,91;2666;16
32;1325;ESCOLA ESTADUAL BRITALDO SOARES FERREIRA DINIZ;RUA PIRACEMA, 331;1559;5
32;1333;IGREJA BATISTA DA RENASCENÇA;RUA TAQUARI  , 68;836;7
32;1341;SOCIEDADE SÃO VICENTE DE PAULO;RUA SALITRE, 160;932;2
32;1376;EMEI - SÃO BERNARDO;AVENIDA CECÍLIA PINTO, 105;1576;7
32;1384;ESCOLA MUNICIPAL MARIA SILVEIRA;RUA LIBÂNIA PENA, 201;2945;3
